histogram,entries,mean,std_dev
reco_mult_prim_total,6.00,3.00,1.73
reco_mult_prim_shower,4.00,3.00,2.16
reco_length_prim_muon,202.00,27.95,24.02
reco_length_prim_pion,101.00,26.41,17.93
reco_length_prim_proton,81.00,15.25,14.42
reco_cosTheta_prim_muon,202.00,0.16,0.20
reco_cosTheta_prim_pion,101.00,0.14,0.15
reco_cosTheta_prim_proton,81.00,0.28,0.25
reco_energy_prim_muon,202.00,0.14,0.13
reco_energy_prim_pion,101.00,0.11,0.07
reco_energy_prim_proton,81.00,0.14,0.09
