Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,858,29.2916,828.708,887.292
3,2.5,248,15.748,232.252,263.748
4,3.5,77,8.77496,68.225,85.775
5,4.5,30,5.47723,24.5228,35.4772
6,5.5,16,4,12,20
7,6.5,8,2.82843,5.17157,10.8284
8,7.5,1,1,0,2
9,8.5,0,0,0,0
10,9.5,1,1,0,2
11,10.5,0,0,0,0
12,11.5,0,0,0,0
13,12.5,0,0,0,0
14,13.5,0,0,0,0
15,14.5,0,0,0,0
16,15.5,0,0,0,0
17,16.5,0,0,0,0
18,17.5,0,0,0,0
19,18.5,0,0,0,0
20,19.5,0,0,0,0
